iter	Passed	Remaining
414	3212	4528
415	3220	4521
416	3228	4514
417	3237	4507
418	3246	4501
419	3254	4494
420	3262	4487
421	3271	4480
422	3278	4472
423	3286	4465
424	3294	4457
425	3302	4449
426	3310	4442
427	3318	4434
428	3326	4427
429	3333	4419
430	3341	4411
431	3348	4402
432	3356	4394
433	3364	4387
434	3372	4380
435	3379	4371
436	3387	4364
437	3395	4356
438	3402	4347
439	3409	4338
440	3417	4331
441	3424	4323
442	3431	4314
443	3439	4307
444	3448	4301
445	3455	4292
446	3463	4285
447	3471	4276
448	3478	4269
449	3486	4261
450	3494	4253
451	3501	4245
452	3508	4236
453	3516	4228
454	3523	4220
455	3531	4212
456	3539	4205
457	3546	4196
458	3553	4188
459	3561	4180
460	3568	4172
461	3576	4164
462	3583	4156
463	3591	4148
464	3598	4140
465	3606	4132
466	3614	4124
467	3621	4116
468	3629	4109
469	3637	4101
470	3644	4093
471	3652	4086
472	3661	4079
473	3669	4072
474	3678	4065
475	3686	4058
476	3694	4051
477	3703	4044
478	3711	4037
479	3720	4030
480	3727	4022
481	3736	4015
482	3745	4008
483	3753	4001
484	3762	3995
485	3771	3988
486	3778	3980
487	3787	3973
488	3795	3966
489	3803	3959
490	3812	3951
491	3820	3944
492	3828	3937
493	3837	3930
494	3845	3922
495	3854	3916
496	3862	3909
497	3871	3902
498	3879	3894
499	3886	3886
500	3894	3878
501	3901	3870
502	3909	3863
503	3917	3855
504	3925	3848
505	3933	3840
506	3941	3832
507	3948	3824
508	3956	3817
509	3965	3809
510	3972	3801
511	3980	3793
512	3988	3786
513	3995	3778
514	4003	3770
515	4011	3762
516	4018	3754
517	4026	3746
518	4033	3738
519	4040	3729
520	4047	3721
521	4055	3713
522	4062	3705
523	4070	3697
524	4078	3689
525	4085	3681
526	4092	3673
527	4100	3665
528	4107	3657
529	4114	3649
530	4122	3641
531	4129	3632
532	4137	3624
533	4144	3616
534	4151	3608
535	4160	3601
536	4167	3593
537	4174	3584
538	4182	3577
539	4191	3570
540	4198	3561
541	4205	3554
542	4213	3546
543	4222	3539
544	4229	3530
545	4237	3523
546	4244	3515
547	4251	3507
548	4259	3499
549	4267	3491
550	4275	3484
551	4282	3475
552	4290	3467
553	4297	3459
554	4305	3451
555	4313	3444
556	4320	3436
557	4328	3428
558	4335	3420
559	4343	3412
560	4350	3404
561	4359	3397
562	4367	3390
563	4375	3382
564	4381	3373
565	4389	3366
566	4397	3358
567	4405	3350
568	4412	3342
569	4420	3334
570	4427	3326
571	4437	3320
572	4445	3312
573	4454	3305
574	4462	3298
575	4469	3290
576	4477	3282
577	4484	3274
578	4492	3266
579	4499	3258
580	4506	3250
581	4514	3242
582	4521	3233
583	4528	3225
584	4536	3218
585	4543	3209
586	4550	3201
587	4558	3193
588	4565	3185
589	4572	3177
590	4580	3169
591	4587	3161
592	4595	3153
593	4602	3145
594	4610	3138
595	4619	3131
596	4626	3122
597	4634	3115
598	4641	3107
599	4649	3099
600	4657	3092
601	4665	3084
602	4672	3076
603	4679	3068
604	4687	3060
605	4694	3052
606	4702	3044
607	4710	3036
608	4717	3028
609	4725	3021
610	4733	3013
611	4740	3005
612	4747	2997
613	4755	2989
614	4763	2982
615	4771	2974
616	4779	2966
617	4786	2958
618	4794	2950
619	4801	2942
620	4808	2934
621	4815	2926
622	4823	2918
623	4830	2910
624	4838	2903
625	4847	2896
626	4854	2888
627	4862	2880
628	4869	2872
629	4877	2864
630	4884	2856
631	4892	2848
632	4899	2840
633	4907	2832
634	4915	2825
635	4922	2817
636	4930	2809
637	4937	2801
638	4944	2793
639	4952	2785
640	4960	2778
641	4968	2770
642	4976	2762
643	4983	2754
644	4991	2747
645	4998	2739
646	5005	2731
647	5013	2723
648	5022	2716
649	5029	2708
650	5037	2700
651	5045	2692
652	5052	2685
653	5060	2677
654	5068	2669
655	5075	2661
656	5083	2653
657	5090	2645
658	5099	2638
659	5106	2630
660	5114	2622
661	5121	2614
662	5128	2606
663	5136	2598
664	5143	2590
665	5150	2583
666	5158	2575
667	5167	2568
668	5175	2560
669	5182	2552
670	5189	2544
671	5197	2536
672	5204	2528
673	5211	2520
674	5219	2513
675	5226	2505
676	5234	2497
677	5241	2489
678	5249	2481
679	5257	2474
680	5264	2466
681	5272	2458
682	5279	2450
683	5286	2442
684	5294	2434
685	5301	2426
686	5308	2418
687	5316	2410
688	5323	2403
689	5333	2396
690	5340	2388
691	5348	2380
692	5355	2372
693	5362	2364
694	5370	2356
695	5377	2348
696	5385	2341
697	5392	2333
698	5399	2325
699	5406	2317
700	5414	2309
701	5421	2301
702	5429	2293
703	5437	2286
704	5445	2278
705	5453	2270
706	5461	2263
707	5469	2255
708	5476	2247
709	5484	2240
710	5491	2232
711	5498	2224
712	5506	2216
713	5513	2208
714	5521	2200
715	5529	2193
716	5536	2185
717	5544	2177
718	5552	2169
719	5559	2162
720	5568	2154
721	5575	2146
722	5583	2139
723	5590	2131
724	5599	2123
725	5607	2116
726	5615	2108
727	5622	2100
728	5630	2093
729	5639	2085
730	5646	2077
731	5653	2069
732	5662	2062
733	5669	2054
734	5677	2046
735	5684	2038
736	5691	2030
737	5698	2023
738	5705	2015
739	5713	2007
740	5720	1999
741	5727	1991
742	5735	1983
743	5742	1976
744	5750	1968
745	5757	1960
746	5765	1952
747	5773	1944
748	5780	1937
749	5787	1929
750	5795	1921
751	5802	1913
752	5809	1905
753	5817	1898
754	5825	1890
755	5832	1882
756	5840	1874
757	5848	1867
758	5856	1859
759	5863	1851
760	5871	1843
761	5878	1836
762	5885	1828
763	5892	1820
764	5900	1812
765	5907	1804
766	5914	1796
767	5922	1789
768	5931	1781
769	5939	1774
770	5947	1766
771	5955	1758
772	5963	1751
773	5971	1743
774	5978	1735
775	5985	1727
776	5993	1720
777	6001	1712
778	6008	1704
779	6015	1696
780	6023	1689
781	6031	1681
782	6038	1673
783	6046	1665
784	6053	1658
785	6061	1650
786	6068	1642
787	6076	1634
788	6084	1627
789	6092	1619
790	6099	1611
791	6106	1603
792	6114	1596
793	6121	1588
794	6129	1580
795	6137	1572
796	6144	1565
797	6152	1557
798	6159	1549
799	6167	1541
800	6174	1534
801	6182	1526
802	6190	1518
803	6198	1511
804	6205	1503
805	6213	1495
806	6221	1488
807	6230	1480
808	6237	1472
809	6244	1464
810	6252	1457
811	6259	1449
812	6266	1441
813	6274	1433
814	6282	1426
815	6290	1418
816	6298	1410
817	6305	1403
818	6313	1395
819	6320	1387
820	6327	1379
821	6335	1371
822	6342	1364
823	6350	1356
824	6357	1348
825	6365	1340
826	6373	1333
827	6381	1325
828	6389	1317
829	6396	1310
830	6405	1302
831	6412	1294
832	6420	1287
833	6427	1279
834	6435	1271
835	6442	1263
836	6450	1256
837	6457	1248
838	6464	1240
839	6471	1232
840	6479	1225
841	6487	1217
842	6494	1209
