iter	MultiClass
149	0.2263532692
150	0.2258125014
151	0.2255513299
152	0.2244268189
153	0.223737624
154	0.2233252839
155	0.2226823716
156	0.2223549652
157	0.2217754724
158	0.221465983
159	0.2210360491
160	0.220702385
161	0.2205467123
162	0.2199866796
163	0.2197712474
164	0.2194187234
165	0.2191834286
166	0.2189254171
167	0.2182240457
168	0.2178015863
169	0.217319711
170	0.216610598
171	0.2162058016
172	0.216001919
173	0.215786822
174	0.2151809629
175	0.214546736
176	0.2142122999
177	0.2140456029
178	0.2135300231
179	0.2133915768
180	0.2131773171
181	0.2127577718
182	0.2123383883
183	0.2120681327
184	0.2119069773
185	0.2115211466
186	0.2109996311
187	0.2108363389
188	0.2103473767
189	0.2101050454
190	0.2098277373
191	0.2095110408
192	0.2090581494
193	0.2083900164
194	0.2077964916
195	0.2074962234
196	0.2071792264
197	0.2069259602
198	0.2065739229
199	0.2064139964
200	0.2059828076
201	0.2056361903
202	0.2052306546
203	0.2047659664
204	0.2043759429
205	0.204068358
206	0.2036967494
207	0.2032986115
208	0.2031061926
209	0.2028492497
210	0.2024310171
211	0.2019608229
212	0.2014376316
213	0.2011509221
214	0.2001992961
215	0.1994544505
216	0.1991905611
217	0.1988064819
218	0.1984510209
219	0.198306556
220	0.1979979856
221	0.1976396397
222	0.1973772185
223	0.1969741088
224	0.1964458321
225	0.1960951367
226	0.1957868857
227	0.1955879129
228	0.1948539534
229	0.1943644545
230	0.1940382951
231	0.1937846778
232	0.1932366199
233	0.1928311759
234	0.1924685358
235	0.1922701317
236	0.1921038329
237	0.1916811938
238	0.1914647944
239	0.1908577589
240	0.1905033962
241	0.190234637
242	0.1898475591
243	0.1894389458
244	0.1893107616
245	0.189082141
246	0.1886554081
247	0.1884524386
248	0.1882833932
249	0.1878849866
250	0.1873626789
251	0.1871537102
252	0.1867732095
253	0.1865159164
254	0.1860560923
255	0.1854212029
256	0.185129428
257	0.1846928721
258	0.1843628264
259	0.1841017616
260	0.1834096996
261	0.1829137276
262	0.1827173863
263	0.182075226
264	0.1817382279
265	0.1815432368
266	0.1810894503
267	0.1808847247
268	0.1806179643
269	0.1799665263
270	0.1797426856
271	0.1794222197
272	0.1791778438
273	0.1789202559
274	0.1783890087
275	0.1782784016
276	0.1778963838
277	0.1775038046
278	0.1771321932
279	0.1765892391
280	0.1763762293
281	0.1761531916
282	0.1758630506
283	0.1755133507
284	0.1751912892
285	0.1747971056
286	0.1743359918
287	0.1741398451
288	0.1736031182
289	0.1732255978
290	0.1730119369
291	0.1728037012
292	0.1725913326
293	0.172188901
294	0.1716527333
295	0.1710454774
296	0.1706902325
297	0.1702743185
298	0.1697845289
299	0.1693142069
300	0.1687955587
301	0.1682367855
302	0.1680262997
303	0.1676786188
304	0.1674513656
305	0.1672676746
306	0.1670961176
307	0.1668777724
308	0.1666568701
309	0.1663298106
310	0.1660813978
311	0.1659130017
312	0.1654274924
313	0.1652782462
314	0.1652142599
315	0.1650329716
316	0.164564254
317	0.1641257465
318	0.1637915167
319	0.1635969042
320	0.163296196
321	0.1631267788
322	0.1629371036
323	0.1628354593
324	0.1624233179
325	0.1622178866
326	0.161733195
327	0.1614757773
328	0.1613083842
329	0.1611656437
330	0.1607958339
331	0.1603667212
332	0.1600871972
333	0.159843449
334	0.1594909779
335	0.1591958109
336	0.1588305627
337	0.1585428632
338	0.1583545413
339	0.1581666202
340	0.1578635408
341	0.1575340326
342	0.1571711534
343	0.1568577763
344	0.1566658029
345	0.1564749643
346	0.155874275
347	0.155789934
348	0.1554354572
349	0.1552127839
350	0.1548310539
351	0.1544136351
352	0.1541344622
353	0.1539399752
354	0.1535069417
355	0.1533317508
356	0.1531026091
357	0.1528406032
358	0.1527044238
359	0.1522778391
360	0.1518669827
361	0.151571049
362	0.151216588
363	0.1506577914
364	0.1502872155
365	0.1501294588
366	0.149856255
367	0.1495228671
368	0.149249104
369	0.1489310051
370	0.1484122147
371	0.1481907793
372	0.1479239957
373	0.1477426167
374	0.1473828562
375	0.147172736
376	0.1467150277
377	0.1464946471
378	0.1462767831
379	0.1459690674
380	0.1458324239
381	0.1456478196
382	0.1453179662
383	0.1451616233
384	0.1449167803
385	0.1443890626
386	0.1441493482
387	0.1439553331
388	0.1438158993
389	0.1436209366
390	0.143419821
391	0.1431827679
392	0.1425629973
393	0.1424146166
394	0.142181508
395	0.1419952311
396	0.1418115972
397	0.1413603475
398	0.1410502894
399	0.1403843286
400	0.1401258777
401	0.1398413233
402	0.1396339273
403	0.1393035074
404	0.1391373282
405	0.1390656665
406	0.1387810151
407	0.138593678
408	0.138261871
409	0.1379819874
410	0.1378491329
411	0.13734686
412	0.1370441806
413	0.1366029761
414	0.1364387254
415	0.1360899766
416	0.1356723087
417	0.1353728611
418	0.1351574051
419	0.1349063715
420	0.1346529177
421	0.1343609235
422	0.1342005448
423	0.1340758241
424	0.1340081194
425	0.1337785062
426	0.1335831901
427	0.1334202915
428	0.133138599
429	0.1330232694
430	0.1327400755
431	0.1324227244
432	0.1323136992
433	0.1322201042
434	0.1317333907
435	0.1315613698
436	0.1308833058
437	0.1307597772
438	0.1303035595
439	0.1301299136
440	0.1297930815
441	0.1295621923
442	0.1293484757
443	0.1289915527
444	0.1288659133
445	0.1286956035
446	0.128197318
447	0.1279549238
448	0.1277143324
449	0.1275806744
450	0.1273008193
451	0.1270663605
452	0.1268221862
453	0.1267114334
454	0.1264457956
455	0.1263010593
456	0.1258272763
457	0.1255449888
458	0.1254774059
459	0.1253530254
460	0.1250381812
461	0.1248017062
462	0.1245372388
463	0.1244525131
464	0.1241428729
465	0.1239699815
466	0.1237891441
467	0.1233793976
468	0.1231456575
469	0.1229145392
470	0.1225955484
471	0.1224860494
472	0.1220878289
473	0.1218583972
474	0.1216549944
475	0.1212115098
476	0.1211208208
477	0.120916184
478	0.1206529914
479	0.1205291924
480	0.1203801122
481	0.120302701
482	0.1200939981
483	0.1199275202
484	0.1197255434
485	0.1196228152
486	0.119455443
487	0.1193103374
488	0.1191643517
489	0.1189646562
490	0.1187412276
491	0.1186013881
492	0.1184061272
493	0.1182709866
494	0.1181107243
495	0.1179139625
496	0.1175745997
497	0.1174033777
498	0.1171921407
499	0.1169769679
500	0.1168039788
501	0.1166044547
502	0.116449514
503	0.1162641475
504	0.1159545404
505	0.1158071803
506	0.1155355231
507	0.1152891374
508	0.1149940072
509	0.11477479
510	0.1145407659
511	0.1143813689
512	0.1142906407
513	0.1141487197
514	0.1139075609
515	0.1135419289
516	0.1133805793
517	0.1132246713
518	0.1130696414
519	0.1129713119
520	0.1128004108
521	0.1125812494
522	0.1122328211
523	0.1119960209
524	0.1118545739
525	0.1116947751
526	0.1114672871
527	0.1112177515
528	0.1108917251
529	0.1107917591
530	0.1104319133
531	0.1103558908
532	0.1102426977
533	0.1099835768
534	0.1097542774
535	0.1096516978
536	0.1093972838
537	0.1093213817
538	0.1090332455
539	0.1088982809
540	0.1087757213
541	0.1085380408
542	0.1083629705
543	0.1080380965
544	0.1079173241
545	0.1076022703
546	0.1073587721
547	0.1070884711
548	0.1070143306
549	0.1068580967
550	0.1067030112
551	0.1065930093
552	0.1063939756
553	0.1062405658
554	0.1059573895
555	0.1056528204
556	0.1054338632
557	0.1051243897
558	0.1050658818
559	0.1049190744
560	0.1046502633
561	0.1042374328
562	0.1038514231
563	0.1036711545
564	0.1035696757
565	0.1033426337
566	0.1031579374
567	0.1028822777
568	0.1027427074
569	0.1026375959
570	0.1024642361
571	0.1023156317
572	0.1021212467
573	0.1018259454
574	0.1016820373
575	0.1013928496
576	0.10120636
577	0.1011176863
578	0.1009159413
579	0.1007668013
580	0.1006196346
581	0.10052556
582	0.1003058665
583	0.1001310263
584	0.09974110118
585	0.0996294024
586	0.09959344043
587	0.09940827894
588	0.09929639087
589	0.09910672646
590	0.09904554877
591	0.09896566978
592	0.0985773208
593	0.09838988761
594	0.09826646712
595	0.09805039986
596	0.09794337715
597	0.09770068699
598	0.09745665913
599	0.09734825834
600	0.09708224066
601	0.09691329519
602	0.09666238898
603	0.09658690244
604	0.09644259079
605	0.09630596438
606	0.09607284063
607	0.09588057475
608	0.09571953585
609	0.09558878911
610	0.09542966938
611	0.09536741917
612	0.09526149268
613	0.09510990671
614	0.0948353685
615	0.09467878814
616	0.0946093597
617	0.09406050744
618	0.09388618754
619	0.09380484354
620	0.09361648821
621	0.09348989025
622	0.0933463896
623	0.09319556561
624	0.09303436677
625	0.0929216608
626	0.09268710815
627	0.09247476717
628	0.09236344525
629	0.09229085917
630	0.09208094749
631	0.09202574308
632	0.09175266291
633	0.09169431617
634	0.09152131763
635	0.0914630743
636	0.09128014938
637	0.09120626438
638	0.09102522623
639	0.09084809083
640	0.09071194424
641	0.09052715165
642	0.09033011905
643	0.09009898679
644	0.08986569782
645	0.08979448263
646	0.08971195925
647	0.08956623517
648	0.08946496618
649	0.08942799403
650	0.08933011477
651	0.0891869313
652	0.08886606909
653	0.0887500873
654	0.08853531506
655	0.08823983157
656	0.08799363042
657	0.08791379388
658	0.08779793859
659	0.08752289681
660	0.08744473461
661	0.08730362566
662	0.08725569613
663	0.08708102849
664	0.08699932984
665	0.08690027966
666	0.08670941031
667	0.086631333
668	0.08641545442
669	0.08623695462
670	0.08614869175
671	0.08598458407
672	0.0857916392
673	0.08568224909
674	0.08550601351
675	0.08539069285
676	0.08511328453
677	0.08488219621
678	0.0847818373
679	0.0845558085
680	0.08421693513
681	0.0841427683
682	0.08402965598
683	0.08395378482
684	0.0837779832
685	0.08371540886
686	0.08358433008
687	0.08348111953
688	0.08329246669
689	0.08303115866
690	0.08287893453
691	0.08277466053
692	0.08260645911
693	0.08244299188
694	0.0822779526
695	0.08217590375
696	0.0820342081
697	0.08197060023
698	0.08186622023
699	0.08175961816
700	0.0816888646
701	0.08157119978
702	0.08143949802
703	0.08123004324
704	0.08108939679
705	0.08093224745
706	0.08069883476
707	0.08050272101
708	0.08038313374
709	0.08011635294
710	0.0799967216
711	0.0799027212
712	0.0797492406
713	0.07962404872
714	0.079404618
715	0.07924048106
716	0.07917503452
717	0.07911248668
718	0.07890527365
719	0.07871293628
720	0.07854548122
721	0.07846514966
722	0.07806505726
723	0.07801383495
724	0.07791480659
725	0.07766034915
726	0.07748707561
727	0.07739211051
728	0.07725008152
729	0.07705672126
730	0.07693448408
731	0.07673939072
732	0.07653007565
733	0.07636583499
734	0.07607116134
735	0.07591539142
736	0.07579856148
737	0.07566113401
738	0.07549718877
739	0.0754019133
740	0.07535591821
741	0.07516708645
742	0.07507203634
743	0.07497591365
744	0.0748856319
745	0.07475042986
746	0.07466622319
747	0.07450603511
748	0.07447653401
749	0.07424478454
750	0.07412332121
751	0.07398625435
752	0.07377305819
753	0.0736169734
754	0.07353954216
755	0.07345007134
756	0.07340145518
757	0.07330472915
758	0.0731586131
759	0.07310097009
760	0.07295338127
761	0.07284575102
762	0.07269404256
763	0.07253613349
764	0.07241468888
765	0.07218411075
766	0.07204628232
767	0.07197139971
768	0.07181884121
769	0.07174179274
770	0.07165972016
771	0.07158711073
772	0.07143801828
773	0.07133836828
774	0.07126231603
775	0.07108893556
776	0.07093965009
777	0.07079203401
778	0.07061658072
779	0.07032861721
780	0.07013691877
781	0.06981718755
782	0.06962984772
783	0.06944575767
784	0.0693940241
785	0.06931609599
786	0.06902594506
787	0.0689307584
788	0.068831309
789	0.06871362359
790	0.06856487775
791	0.06852041742
792	0.06842437836
793	0.06836615617
794	0.06809559383
795	0.06794680116
796	0.06775016688
797	0.06768742414
798	0.06759512703
799	0.06749136964
800	0.06747081298
801	0.06737385123
802	0.06722776543
803	0.06700703281
804	0.06686265746
805	0.06674954605
806	0.06656323807
807	0.06638321766
808	0.06622423938
809	0.06610875628
810	0.06601764027
811	0.06594317204
812	0.06580097372
813	0.06561771839
814	0.06552305706
815	0.06538495339
816	0.06514682887
817	0.06495773232
818	0.06487405632
819	0.06483302349
820	0.06471257002
821	0.06454859364
822	0.06445857187
823	0.06425686125
824	0.06416401415
825	0.06403580825
826	0.06379196196
827	0.0637055519
828	0.06366569477
829	0.06354473503
830	0.06343657521
831	0.06327353308
832	0.06320322904
833	0.06312411539
834	0.06305495011
835	0.06286427459
836	0.062773391
837	0.06265997817
838	0.06259968341
839	0.06252695959
840	0.06242137219
841	0.06237357331
842	0.06227975991
843	0.06217498083
844	0.06213408523
845	0.06204658481
846	0.06189740756
847	0.06170523677
848	0.06162765656
849	0.06151604884
850	0.06140908391
851	0.06131431248
852	0.0612414845
853	0.06114281308
854	0.0610934643
855	0.06100230034
856	0.06091172071
857	0.06083945631
858	0.06073979897
859	0.0606151969
860	0.06047943564
861	0.0604499595
862	0.06029271032
863	0.06023967181
864	0.06014708523
865	0.06002148847
866	0.05988067762
867	0.05982372401
868	0.05978562883
869	0.05956870644
870	0.0594759781
871	0.0594070855
872	0.05930292188
873	0.05910534968
874	0.05902035294
875	0.0589435541
876	0.05884791479
877	0.05869202278
878	0.05860869002
879	0.05845806622
880	0.05827674442
881	0.05818952734
882	0.05806038871
883	0.05796984412
884	0.0579331189
885	0.0578148136
886	0.0577129742
887	0.05756837438
888	0.0574973521
889	0.05737267679
890	0.05729701738
891	0.05723189747
892	0.05710799405
893	0.0570021034
894	0.05683547132
895	0.05676418361
896	0.05665590951
897	0.05654074391
898	0.05645906467
899	0.05640952463
900	0.0563725841
901	0.05623305709
902	0.05608931022
903	0.05603150751
904	0.05599561703
905	0.05595228344
906	0.05585330494
907	0.05562919471
908	0.05559663115
909	0.0554828944
910	0.05543421214
911	0.05538371835
912	0.05529224753
913	0.05510973399
914	0.05504491157
915	0.05492845531
916	0.05485798169
917	0.05472124614
918	0.05463219235
919	0.05453098172
920	0.05433296771
921	0.05427035474
922	0.05423016128
923	0.05418695943
924	0.0540833122
925	0.05402702794
926	0.0539924269
927	0.05390839669
928	0.053837218
929	0.05374226874
930	0.0536129323
931	0.05354697987
932	0.0534829006
933	0.05343304819
934	0.05330382224
935	0.05314617208
936	0.05307124564
937	0.0530484667
938	0.05301196381
939	0.05294249926
940	0.05289707102
941	0.05278136682
942	0.05267317217
943	0.0526341186
944	0.05260885757
945	0.05255758397
946	0.05243092508
947	0.05228624889
948	0.05224217588
949	0.05213419876
950	0.05210482088
951	0.05207177955
952	0.05201479019
953	0.05196124557
954	0.0519003284
955	0.05182827436
956	0.05175267284
957	0.05171100757
958	0.05162682899
959	0.0515410233
960	0.05135234708
961	0.05127093933
962	0.05115496207
963	0.05111608373
964	0.05103350895
965	0.05094502469
966	0.05084481747
967	0.05069555688
968	0.05062827876
969	0.05048711503
970	0.05037784726
971	0.05028332513
972	0.05016865676
973	0.0500679424
974	0.05000673013
975	0.04991721135
976	0.04989193887
977	0.04980024909
978	0.04973064808
979	0.04961006399
980	0.04946970027
981	0.04942213306
982	0.04936066899
983	0.04928766308
984	0.04919428819
985	0.04916169109
986	0.0491056109
987	0.04904028774
988	0.0490064145
989	0.04891093936
990	0.04888055823
991	0.0488526777
992	0.04884161881
993	0.04871705685
994	0.04868138953
995	0.04859457222
996	0.04851516284
997	0.04847868793
998	0.04842718932
999	0.04839834443
